"DateTime","mod","taxon","value","daily_sum","year","doy","annual_sum","annual_prop","scenario","pars"
2015-07-08,"ZOO","cladoceran",887.970697338571,390.620222996548,2015,189,28742.3250349286,1.35904183994111,"high","low"
2015-07-08,"ZOO","copepod",578.252017463604,390.620222996548,2015,189,28742.3250349286,1.35904183994111,"high","low"
2015-07-08,"ZOO","rotifer",879.647034403597,390.620222996548,2015,189,28742.3250349286,1.35904183994111,"high","low"
2015-07-08,"ZOO","total",2345.86974920577,390.620222996548,2015,189,28742.3250349286,1.35904183994111,"high","low"
2015-07-09,"ZOO","cladoceran",857.480096754636,364.971405625378,2015,190,28742.3250349286,1.2698047398109,"high","low"
2015-07-09,"ZOO","copepod",486.0231080679,364.971405625378,2015,190,28742.3250349286,1.2698047398109,"high","low"
2015-07-09,"ZOO","rotifer",848.332571660674,364.971405625378,2015,190,28742.3250349286,1.2698047398109,"high","low"
2015-07-09,"ZOO","total",2191.83577648321,364.971405625378,2015,190,28742.3250349286,1.2698047398109,"high","low"
2015-07-10,"ZOO","cladoceran",920.808201391569,376.993187576796,2015,191,28742.3250349286,1.31163079924349,"high","low"
2015-07-10,"ZOO","copepod",434.489872029645,376.993187576796,2015,191,28742.3250349286,1.31163079924349,"high","low"
2015-07-10,"ZOO","rotifer",908.734514571237,376.993187576796,2015,191,28742.3250349286,1.31163079924349,"high","low"
2015-07-10,"ZOO","total",2264.03258799245,376.993187576796,2015,191,28742.3250349286,1.31163079924349,"high","low"
2015-07-11,"ZOO","cladoceran",952.485423068963,392.008986821868,2015,192,28742.3250349286,1.36387361267916,"high","low"
2015-07-11,"ZOO","copepod",463.985835441643,392.008986821868,2015,192,28742.3250349286,1.36387361267916,"high","low"
2015-07-11,"ZOO","rotifer",937.73871184812,392.008986821868,2015,192,28742.3250349286,1.36387361267916,"high","low"
2015-07-11,"ZOO","total",2354.20997035873,392.008986821868,2015,192,28742.3250349286,1.36387361267916,"high","low"
2015-07-12,"ZOO","cladoceran",984.951752221484,406.322166322683,2015,193,28742.3250349286,1.41367187876732,"high","low"
2015-07-12,"ZOO","copepod",481.136165458053,406.322166322683,2015,193,28742.3250349286,1.41367187876732,"high","low"
2015-07-12,"ZOO","rotifer",974.079852171334,406.322166322683,2015,193,28742.3250349286,1.41367187876732,"high","low"
2015-07-12,"ZOO","total",2440.16776985087,406.322166322683,2015,193,28742.3250349286,1.41367187876732,"high","low"
2015-07-13,"ZOO","cladoceran",987.802094197662,410.496717102253,2015,194,28742.3250349286,1.42819593266517,"high","low"
2015-07-13,"ZOO","copepod",500.805646958734,410.496717102253,2015,194,28742.3250349286,1.42819593266517,"high","low"
2015-07-13,"ZOO","rotifer",976.630293401186,410.496717102253,2015,194,28742.3250349286,1.42819593266517,"high","low"
2015-07-13,"ZOO","total",2465.23803455758,410.496717102253,2015,194,28742.3250349286,1.42819593266517,"high","low"
2015-07-14,"ZOO","cladoceran",948.050808162553,393.505281222884,2015,195,28742.3250349286,1.36907950468407,"high","low"
2015-07-14,"ZOO","copepod",481.080326176969,393.505281222884,2015,195,28742.3250349286,1.36907950468407,"high","low"
2015-07-14,"ZOO","rotifer",934.064832044508,393.505281222884,2015,195,28742.3250349286,1.36907950468407,"high","low"
2015-07-14,"ZOO","total",2363.19596638403,393.505281222884,2015,195,28742.3250349286,1.36907950468407,"high","low"
2015-07-15,"ZOO","cladoceran",1008.97675244822,412.34686845213,2015,196,28742.3250349286,1.43463296010686,"high","low"
2015-07-15,"ZOO","copepod",471.193754800831,412.34686845213,2015,196,28742.3250349286,1.43463296010686,"high","low"
2015-07-15,"ZOO","rotifer",996.178611240215,412.34686845213,2015,196,28742.3250349286,1.43463296010686,"high","low"
2015-07-15,"ZOO","total",2476.34911848927,412.34686845213,2015,196,28742.3250349286,1.43463296010686,"high","low"
2015-07-16,"ZOO","cladoceran",928.979824593959,381.280966395794,2015,197,28742.3250349286,1.32654879496509,"high","low"
2015-07-16,"ZOO","copepod",444.641034283516,381.280966395794,2015,197,28742.3250349286,1.32654879496509,"high","low"
2015-07-16,"ZOO","rotifer",916.161984812464,381.280966395794,2015,197,28742.3250349286,1.32654879496509,"high","low"
2015-07-16,"ZOO","total",2289.78284368994,381.280966395794,2015,197,28742.3250349286,1.32654879496509,"high","low"
2015-07-17,"ZOO","cladoceran",909.214811553783,371.524628609709,2015,198,28742.3250349286,1.29260464544264,"high","low"
2015-07-17,"ZOO","copepod",423.163148079681,371.524628609709,2015,198,28742.3250349286,1.29260464544264,"high","low"
2015-07-17,"ZOO","rotifer",898.81319748214,371.524628609709,2015,198,28742.3250349286,1.29260464544264,"high","low"
2015-07-17,"ZOO","total",2231.1911571156,371.524628609709,2015,198,28742.3250349286,1.29260464544264,"high","low"
2015-07-18,"ZOO","cladoceran",909.873636267573,369.626801677459,2015,199,28742.3250349286,1.28600174560784,"high","low"
2015-07-18,"ZOO","copepod",414.205705618265,369.626801677459,2015,199,28742.3250349286,1.28600174560784,"high","low"
2015-07-18,"ZOO","rotifer",895.714415588144,369.626801677459,2015,199,28742.3250349286,1.28600174560784,"high","low"
2015-07-18,"ZOO","total",2219.79375747398,369.626801677459,2015,199,28742.3250349286,1.28600174560784,"high","low"
2015-07-19,"ZOO","cladoceran",890.877528379169,359.628255646242,2015,200,28742.3250349286,1.25121490766391,"high","low"
2015-07-19,"ZOO","copepod",387.817995329128,359.628255646242,2015,200,28742.3250349286,1.25121490766391,"high","low"
2015-07-19,"ZOO","rotifer",881.051965575206,359.628255646242,2015,200,28742.3250349286,1.25121490766391,"high","low"
2015-07-19,"ZOO","total",2159.7474892835,359.628255646242,2015,200,28742.3250349286,1.25121490766391,"high","low"
2015-07-20,"ZOO","cladoceran",948.259097961001,376.155236643509,2015,201,28742.3250349286,1.30871540902274,"high","low"
2015-07-20,"ZOO","copepod",376.290329333986,376.155236643509,2015,201,28742.3250349286,1.30871540902274,"high","low"
2015-07-20,"ZOO","rotifer",934.450846367609,376.155236643509,2015,201,28742.3250349286,1.30871540902274,"high","low"
2015-07-20,"ZOO","total",2259.0002736626,376.155236643509,2015,201,28742.3250349286,1.30871540902274,"high","low"
2015-07-21,"ZOO","cladoceran",925.966742580307,372.12343963499,2015,202,28742.3250349286,1.29468802256872,"high","low"
2015-07-21,"ZOO","copepod",395.744645514117,372.12343963499,2015,202,28742.3250349286,1.29468802256872,"high","low"
2015-07-21,"ZOO","rotifer",913.075928633509,372.12343963499,2015,202,28742.3250349286,1.29468802256872,"high","low"
2015-07-21,"ZOO","total",2234.78731672793,372.12343963499,2015,202,28742.3250349286,1.29468802256872,"high","low"
2015-07-22,"ZOO","cladoceran",894.033806326707,355.653038831936,2015,203,28742.3250349286,1.23738437443643,"high","low"
2015-07-22,"ZOO","copepod",356.701210098984,355.653038831936,2015,203,28742.3250349286,1.23738437443643,"high","low"
2015-07-22,"ZOO","rotifer",885.1393082795,355.653038831936,2015,203,28742.3250349286,1.23738437443643,"high","low"
2015-07-22,"ZOO","total",2135.87432470519,355.653038831936,2015,203,28742.3250349286,1.23738437443643,"high","low"
2015-07-23,"ZOO","cladoceran",912.528900662578,356.818796805426,2015,204,28742.3250349286,1.24144026752119,"high","low"
2015-07-23,"ZOO","copepod",328.035433606783,356.818796805426,2015,204,28742.3250349286,1.24144026752119,"high","low"
2015-07-23,"ZOO","rotifer",902.310949945625,356.818796805426,2015,204,28742.3250349286,1.24144026752119,"high","low"
2015-07-23,"ZOO","total",2142.87528421499,356.818796805426,2015,204,28742.3250349286,1.24144026752119,"high","low"
2015-07-24,"ZOO","cladoceran",882.292646042549,346.536668345744,2015,205,28742.3250349286,1.20566679252504,"high","low"
2015-07-24,"ZOO","copepod",325.709507095053,346.536668345744,2015,205,28742.3250349286,1.20566679252504,"high","low"
2015-07-24,"ZOO","rotifer",873.123808612762,346.536668345744,2015,205,28742.3250349286,1.20566679252504,"high","low"
2015-07-24,"ZOO","total",2081.12596175036,346.536668345744,2015,205,28742.3250349286,1.20566679252504,"high","low"
2015-07-25,"ZOO","cladoceran",870.716866349964,338.835367495956,2015,206,28742.3250349286,1.17887250625756,"high","low"
2015-07-25,"ZOO","copepod",301.554383383828,338.835367495956,2015,206,28742.3250349286,1.17887250625756,"high","low"
2015-07-25,"ZOO","rotifer",862.604549763171,338.835367495956,2015,206,28742.3250349286,1.17887250625756,"high","low"
2015-07-25,"ZOO","total",2034.87579949696,338.835367495956,2015,206,28742.3250349286,1.17887250625756,"high","low"
2015-07-26,"ZOO","cladoceran",852.28839200106,329.245255477394,2015,207,28742.3250349286,1.14550668770632,"high","low"
2015-07-26,"ZOO","copepod",280.834891019681,329.245255477394,2015,207,28742.3250349286,1.14550668770632,"high","low"
