"DateTime","Depth","NIT_nit"
2015-07-09,3,0.032258064516129
2015-07-09,6,0.032258064516129
2015-07-09,9,0
2015-07-09,12,0.0806451612903226
2015-07-16,0.1,0.032258064516129
2015-07-16,3,0.0645161290322581
2015-07-16,9,0.0645161290322581
2015-07-16,12,0.0483870967741935
2015-07-23,0.1,0.032258064516129
2015-07-23,3,0.032258064516129
2015-07-23,6,0.0161290322580645
2015-07-23,9,0.0483870967741935
2015-07-23,12,0.0483870967741935
2015-07-30,3,0.032258064516129
2015-07-30,9,0.0483870967741935
2015-07-30,12,0.0645161290322581
2015-08-13,0.1,0.032258064516129
2015-08-13,3,0.032258064516129
2015-08-13,6,0.032258064516129
2015-08-13,9,0.032258064516129
2015-08-13,12,0.0483870967741935
2015-08-20,3,0
2015-08-20,6,0.032258064516129
2015-08-20,9,0.032258064516129
2015-08-20,12,0.0483870967741935
2015-09-04,3,0.0161290322580645
2015-09-04,6,0.0161290322580645
2015-09-18,0.1,0.0161290322580645
2015-09-18,3,0.032258064516129
2015-10-02,0.1,0.032258064516129
2015-10-02,3,0.0645161290322581
2015-10-02,6,0.0967741935483871
2015-10-02,9,0.0645161290322581
2015-10-02,12,0.0161290322580645
2015-10-23,0.1,0.032258064516129
2015-10-23,3,0.032258064516129
2015-10-23,6,0.0483870967741935
2015-10-23,12,0.0161290322580645
2016-04-06,0.1,0.145161290322581
2016-04-06,3,0.0483870967741935
2016-04-06,6,0.0483870967741935
2016-04-06,9,0.0161290322580645
2016-04-06,11,0.0806451612903226
2016-04-20,0.1,0.032258064516129
2016-04-20,3,0.0161290322580645
2016-04-20,6,0.0483870967741935
2016-04-20,9,0.0806451612903226
2016-04-20,11,0.0483870967741935
2016-05-04,0.1,0.032258064516129
2016-05-04,3,0.0483870967741935
2016-05-04,6,0.032258064516129
2016-05-04,9,0.0645161290322581
2016-05-04,11,0.0483870967741935
2016-05-12,3,0.0483870967741935
2016-05-12,9,0.0161290322580645
2016-05-12,11,0.0161290322580645
2016-05-19,3,0.0161290322580645
2016-05-19,6,0
2016-05-19,9,0.0806451612903226
2016-05-19,11,0
2016-05-26,3,0.0161290322580645
2016-05-26,6,0.032258064516129
2016-05-26,9,0.032258064516129
2016-05-26,11,0.0645161290322581
2016-05-29,0.1,0
2016-05-29,3,0.0161290322580645
2016-05-29,6,0.032258064516129
2016-05-29,11,0
2016-05-31,0.1,0.0806451612903226
2016-05-31,6,0.0161290322580645
2016-05-31,9,0.0483870967741935
2016-05-31,11,0.0645161290322581
2016-06-02,0.1,0.0161290322580645
2016-06-02,3,0.0645161290322581
