#Variables:
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1-m_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_BNU-ESM_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_CanESM2_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_CCSM4_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_CSIRO-Mk3-6-0_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp45(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 37.3438 Latitude, -79.8438 Longitude (closest value to Latitude:37.3149, Longitude:-79.82) "
#Original Data File(s):
#macav2livneh_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_bcc-csm1-1-m_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_BNU-ESM_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_CanESM2_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_CSIRO-Mk3-6-0_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#macav2livneh_tasmax_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily_aggregated.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1-m_rcp45(K),tasmax_BNU-ESM_rcp45(K),tasmax_CanESM2_rcp45(K),tasmax_CCSM4_rcp45(K),tasmax_CNRM-CM5_rcp45(K),tasmax_CSIRO-Mk3-6-0_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1-m_rcp45(K),tasmax_BNU-ESM_rcp45(K),tasmax_CanESM2_rcp45(K),tasmax_CCSM4_rcp45(K),tasmax_CNRM-CM5_rcp45(K),tasmax_CSIRO-Mk3-6-0_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K)
2006-01-01,285.483215,284.542389,284.165924,282.699249,300.923370,282.461334,286.974060,275.364624,285.201660,281.851990
2006-01-02,284.558777,282.620880,284.288361,283.375183,295.384125,276.735291,285.018494,276.176941,288.331543,280.738098
2006-01-03,280.813354,281.165405,286.132538,287.742249,294.292847,281.708801,283.837555,276.354675,290.333588,279.546082
2006-01-04,280.194946,280.803711,284.428894,290.411835,286.008026,283.186646,290.076385,279.420990,287.453827,275.445007
2006-01-05,279.565247,269.655060,283.865326,284.312439,279.162140,281.452148,283.092712,276.612885,276.268585,275.638550
2006-01-06,277.872650,278.477905,283.475983,277.810486,277.093506,285.522156,284.664215,281.421326,274.848450,274.856476
2006-01-07,279.419708,280.289215,280.659058,272.058563,282.439240,284.194733,278.762726,284.523712,280.587677,276.385651
2006-01-08,277.321350,272.798737,276.765076,275.764038,289.582001,281.574554,273.421448,280.762695,291.963898,275.048950
2006-01-09,280.820679,274.305542,277.469940,279.529541,290.789795,278.350494,279.720856,278.744995,292.478516,276.750610
2006-01-10,286.402252,277.285400,282.714630,279.283081,292.252350,275.288971,278.712189,278.081573,285.749664,278.686951
2006-01-11,284.558838,281.671631,278.888214,279.740509,285.670135,278.909760,276.612701,278.737701,282.582581,278.495392
2006-01-12,288.261902,278.713013,280.738342,282.535980,278.505157,279.738647,280.948730,278.270233,285.731812,277.826324
2006-01-13,286.752197,284.364105,274.286285,284.883545,284.884521,274.640625,282.927246,279.950684,288.134369,272.609985
2006-01-14,285.137909,288.888580,274.834442,283.648132,276.130035,278.720245,284.576263,280.349304,292.662842,280.324402
2006-01-15,283.030762,283.978699,281.405884,278.989960,271.916840,280.141785,289.381989,277.554749,290.912994,281.538940
2006-01-16,270.596344,278.159943,281.917206,288.385895,277.705261,282.046356,288.658875,279.300476,291.792480,280.041443
2006-01-17,267.974121,278.243622,279.906708,286.360077,279.695862,283.761414,276.518158,284.060364,283.391754,275.653717
2006-01-18,271.138641,277.776581,278.903015,283.323425,282.560486,280.680969,276.344147,286.681000,279.643433,281.923676
2006-01-19,275.360870,282.103973,280.857056,276.778992,279.929260,273.638306,273.063873,282.769714,279.505432,280.091705
2006-01-20,274.508820,283.930237,276.669067,277.305298,276.630402,275.774658,269.782104,284.452606,278.168488,279.647583
2006-01-21,268.814026,289.953156,276.461365,281.765961,278.770020,279.414551,272.093231,277.447144,281.847260,283.920105
2006-01-22,268.483093,280.004272,275.532776,282.411499,283.680359,277.300781,280.569885,275.650177,285.110748,285.257599
2006-01-23,276.669464,280.557709,277.615234,285.955902,293.115204,284.588684,279.739502,277.599487,289.333099,281.741791
2006-01-24,278.155853,281.538361,278.044342,284.338257,286.120209,280.179382,283.427948,282.084930,287.477753,282.290314
2006-01-25,278.631714,279.256653,279.701385,287.169952,279.695221,292.111694,289.999207,282.563873,289.131195,277.171356
2006-01-26,275.614899,271.259552,280.274109,281.379974,279.720734,283.884979,290.481934,282.431580,288.969360,270.617981
2006-01-27,272.422638,286.505341,277.246582,279.174133,275.361969,285.371124,291.126556,283.679688,287.486237,276.839966
2006-01-28,279.824799,276.064819,276.966614,279.195160,276.242432,280.203186,282.614258,274.571167,279.678497,277.952850
